posture,cursor_type,wide,dwell_time,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,min_target_size,best_record
STAND,EYE,LARGE,0.899999999999989,0.8798637371794888,1.078525641025641,1.1033361928418859,1.025214686164536,1.2710159375000005,1.9018545467056756,1.3209260460277992,1.1209032277965687,1.0111878804739884
STAND,EYE,SMALL,0.899999999999989,0.5623225236593026,1.0678233438485805,1.0780327613038925,1.01236757518402,0.9007172933753916,1.7030487169164261,1.4311374187020067,1.0800285661610654,1.0066338086419777
STAND,HAND,LARGE,0.899999999999989,1.333238119309262,1.0141287284144427,1.0433661857666197,1.0292400703820044,1.5172863014128726,1.864366662275887,0.737842887821321,1.166550700293444,1.0199212498712058
STAND,HAND,SMALL,0.899999999999989,0.9399154766355118,1.0109034267912773,1.0437311142263819,1.0326626705607538,1.0938950046728957,1.8745436968834304,0.6807098815297731,1.1397174050482137,1.0296622251416856
STAND,HEAD,LARGE,0.899999999999989,1.1074618467741928,1.0290322580645161,1.0558254704301138,1.0273173825268884,1.4084908612903224,1.8523017810506004,0.8648684358168948,1.0411737883386427,1.011900786876647
STAND,HEAD,SMALL,0.899999999999989,0.8266318031746057,1.0285714285714285,1.0508969158730217,1.0227436357142918,1.0817658396825414,1.7074257623654443,0.7851786182479472,1.0543273950227554,1.0106095463971034
WALK,EYE,LARGE,0.899999999999989,0.8180305000000013,1.0,0.9319269999999847,0.9319269999999847,2.7173150000000135,5.436496716497298,5.609522943546443,3.2389321217721068,0.3239334968115986
WALK,EYE,SMALL,0.899999999999989,0.9643949500000091,1.0,0.987222683333318,0.987222683333318,2.77494880000001,5.3029569217306065,4.790913881351281,3.0503015664863637,0.354380973135962
WALK,HAND,LARGE,0.899999999999989,1.825292083333352,1.0,0.97945299999998,0.97945299999998,3.769529916666689,8.60392807976717,5.66051602944455,4.897000841101327,0.2824551553473836
WALK,HAND,SMALL,0.899999999999989,1.4437913076923201,1.0,1.025693102564094,1.025693102564094,3.434148846153857,8.547161703978754,2.636394627022268,4.511085930730601,0.29783981374335394
WALK,HEAD,LARGE,0.899999999999989,1.2997014999999976,1.0,0.92827666666664,0.92827666666664,3.174804000000023,6.529870702473085,8.810347169855229,3.9605389426549027,0.261934137951448
WALK,HEAD,SMALL,0.899999999999989,1.0436285454545617,1.0,0.9851546060606318,0.9851546060606318,2.9189748181818285,6.437651561577226,2.1783819007598124,3.717610345454418,0.28944053791886776
