posture,cursor_type,wide,target_size,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical
STAND,EYE,LARGE,5.0,1.033182142926072,0.6232431143680832,6.7826833203929935,6.7826833203929935,0.9128241221020112,1.3106646058732612,1.8481815965996942,1.5886039534536702,0.10934039136706399,0.08857034571595127,0.6202187071996704,0.5896869520799664
STAND,EYE,SMALL,5.0,0.9570645541879944,0.5177794707159884,3.6014567512022047,3.6014567512022047,0.5761491203703673,1.1435185185185186,1.6606251512345651,1.5187089632973239,0.16110023791795122,0.06873843077927477,0.49822956248111616,0.5094508767009718
STAND,HAND,LARGE,5.0,1.0037183533039995,0.5237844119231525,10.035180614355326,10.035180614355326,1.3232843981042637,1.0695102685624012,1.5030571927330165,1.4440960711276611,0.06964491704219326,0.06615252615154485,0.539767841876014,0.46709845817312506
STAND,HAND,SMALL,5.0,0.9515058669533448,0.4566508252060973,5.526101172949736,5.526101172949736,0.9345167095761362,1.0486656200941915,1.3662259497645202,1.3347425387231822,0.021792419034468394,0.08052289070686808,0.4860506046465804,0.4115362954711308
STAND,HEAD,LARGE,5.0,0.9989242258439116,0.5199796406667477,7.277229245559942,7.277229245559942,1.1394544220472433,1.0614173228346457,1.6673547905511805,1.6115156123359573,-0.031339772592638336,0.13074672234706797,0.5269649954047779,0.5750771623570187
STAND,HEAD,SMALL,5.0,0.9141405050250996,0.4296874548658502,4.1813091804496905,4.1813091804496905,0.8615737822706093,1.0482115085536547,1.5571200419906717,1.5002749507516864,-0.03200383166565138,0.06732892238707144,0.46378948033931605,0.48433985177011746
WALK,EYE,LARGE,5.0,3.4660530940029703,2.562709792203951,7.114103849992824,7.114103849992824,1.4594630266222977,4.4891846921797,3.24225118635607,1.1382916697513032,0.2638874710229607,-0.10109247607031684,3.2833836771262974,1.7043671981303183
WALK,EYE,SMALL,5.0,3.3742503337049987,2.4845877170767285,4.922467652613964,4.922467652613964,1.17611705466238,4.885852090032154,3.4505127170418,1.144062642582258,0.228041805655712,-0.054475842334170965,3.2194019014336512,1.5887105567013224
WALK,HAND,LARGE,5.0,5.062337944703784,3.555698482591385,10.179495300098669,10.179495300098669,2.0490600251572344,4.29559748427673,2.1423633626834433,0.6374510409076545,-0.2879558930112007,-0.2638767393527356,5.176203739390892,1.1752490990050453
WALK,HAND,SMALL,5.0,4.967434548584241,3.6605786096924673,7.176798174101317,7.176798174101317,1.6600330304255326,4.7106382978723405,2.401599177446811,0.6507407641337387,-0.04142757954852871,-0.26169861331186745,5.239708544034654,1.1656633439577126
WALK,HEAD,LARGE,5.0,4.308556168071629,2.5519107858613213,7.806897465548658,7.806897465548658,1.7758913546712822,3.5242214532871974,2.742219852941179,1.1061730814418909,-0.02955076678271269,0.24632139307322035,3.7809893234710565,1.5907478395659724
WALK,HEAD,SMALL,5.0,4.0271172211388855,2.3695331070603602,5.638662898271151,5.638662898271151,1.435703692573404,3.7253886010362693,3.020096972366145,1.1595153567816698,-0.005215775325362674,0.4290561726881085,3.5384386709343745,1.4287583151052012
